Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Aqgromalin,2019.0,Chennai,Agritech,Cultivating Ideas for Profit,"Prasanna Manogaran, Bharani C L",Angel Investors,200000.0,Pre series A,2020-01-01
Krayonnz,2019.0,Bangalore,Edtech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",Gsf Accelerator,100000.0,Pre-seed,2020-01-01
Padcare Labs,2018.0,Pune,Hygiene Management,Converting bio-hazardous waste to harmless waste,Ajinkya Dhariya,Venture Center,3000000.0,Pre-seed,2020-01-01
Ncome,2020.0,New Delhi,Escrow,Escrow-as-a-service platform,Ritesh Tiwari,"Venture Catalysts, Pointone Capital",400000.0,Pre series A,2020-01-01
Gramophone,2016.0,Indore,Agritech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",340000.0,Seed Round,2020-01-01
Qzense,2019.0,Bangalore,Agritech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed,2020-01-01
Myclassboard,2008.0,Hyderabad,Edtech,MyClassboard is a full-fledged School / College Management Software.,Ajay Sakhamuri,Icici Bank.,600000.0,Pre-series A,2020-01-01
Metvy,2018.0,Gurgaon,Networking Platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,Hostelfund,3000000.0,Pre-series,2020-01-01
Rupeek,2015.0,Bangalore,Fintech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","Kb Investment, Bertelsmann India Investments",45000000.0,Series C,2020-01-01
Gig India,2017.0,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Pre-series A,2020-01-01
Slurrp Farm,2016.0,Gurgaon,Food & Bevarages,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Series A,2020-01-01
Medfin,2017.0,Bangalore,Healthtech,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",3000000.0,Series A,2020-01-01
Masterg,2015.0,New Delhi,Fashion Startup,MasterG is a design and skill development organisation.,Gayatri Jolly,Acumen Fund'S Angel Programme,3000000.0,Seed Round,2020-01-01
Brila 91,2014.0,New Delhi,Food & Bevarages,Bira 91 is a craft beer company.,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Seed Round,2020-01-01
Foodybuddy,2015.0,Belgaum,Food Industry,FoodyBuddy is a online food delivery portal,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,600000.0,Pre series A,2020-01-01
Zomato,2008.0,Gurgaon,Food Delivery,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",660000000.0,Seed,2020-01-01
Oureye.Ai,2020.0,Bangalore,Virtual Auditing Startup,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X Vc, Amara Ventures",120000.0,Seed Round,2020-01-01
Shiprocket,2017.0,New Delhi,E-Commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, Innoven Capital",7500000.0,Series C,2020-01-01
Pine Labs,1998.0,Noida,Fintech,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,Amrish Rau,"Mastercard, Temasek Holdings",3000000.0,Pre series A,2020-01-01
Moneyboxx Finance,2019.0,New Delhi,Fintech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,Prashant Agarwal,"Blacksoil, Caspian",1000000.0,Seed,2020-01-01
Ewar,2019.0,Bangalore,Gaming,EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",3000000.0,Pre-series A,2020-01-01
Sucseed Indovation,2016.0,Hyderabad,Fintech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney,Inflection Point Ventures,5000000.0,Series A,2020-01-01
Taxbuddy.Com,2019.0,Mumbai,Fintech,TaxBuddy for any tax related issues.,Sujit Bangar,Zenith Global,1000000.0,Pre series A,2020-01-01
Awign Enterprises,2016.0,Bangalore,Work Fulfillment,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",500000.0,Seed,2020-01-01
Circle Of Angels,2018.0,Gurgaon,Fintech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh,India,3000000.0,Seed,2020-01-01
Coindcx,2017.0,Mumbai,Fintech,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",10000000.0,Series B,2020-01-01
Glance,2016.0,Bangalore,Ai Startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari,Mithril Capital Management.,145000000.0,Series A,2020-01-01
Verse Innovation,2007.0,Bangalore,Telecommunication,Owner of Dailyhunt App and I-Pay,Virendra Gupta,Google,100000000.0,Seed,2020-01-01
Voosh,2020.0,Bangalore,Food Industry,Building India's largest digital food service brand,Priyam Saraswat,Better Capital,3000000.0,Pre-seed,2020-01-01
Delhivery,2011.0,Gurgaon,E-Commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board",3000000.0,Series B,2020-01-01
Arya,1982.0,Noida,Agritech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation","Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,21000000.0,Series B,2020-01-01
Pickrr,2015.0,New Delhi,Logistics,Pickrr is an on-demand first mile logistics company,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,4000000.0,Series C,2020-01-01
Phonepe,2015.0,Andheri,Fintech,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",20000000.0,Seed,2020-01-01
Countingwell,2018.0,Bangalore,Edtech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, Uae, Interstar",1000000.0,Pre-series A,2020-01-01
Callify.Ai,2016.0,Mumbai,Tech Startup,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000.0,Seed,2020-01-01
Hudle,2016.0,New Delhi,Sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Suhail Narain,Survam Partners,3000000.0,Pre-series A,2020-01-01
Cover It Up,2013.0,Chennai,E-Commerce,Online portal that churns out high quality products,Ronak Sarda,Angel Investors,400000.0,Seed,2020-01-01
Bitespeed,2019.0,Gurgaon,E-Commerce,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,275000.0,Seed,2020-01-01
Wakefit,2016.0,Bangalore,Retail,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,20000000.0,Series B,2020-01-01
Sreyas Holistic Remedies,2008.0,Hyderabad,Medtech,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Dr Prashant Soma,Blacksoil,1000000.0,Series A,2020-01-01
Fleeca India,2016.0,Jaipur,Tyre Management,FLEECA is a Tyre Care Provider company.,Tikam Jain,Bridgestone India,3000000.0,Series C,2020-01-01
M1Xchange,2017.0,Gurgaon,Fintech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,"Beenext, Mayfield Fund",4500000.0,Seed Round,2020-01-01
Exotel,2011.0,Bangalore,Cloud Company,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",5000000.0,Seed Round,2020-01-01
Pagarbook,2019.0,Bangalore,Software Company,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",15000000.0,Series A,2020-01-01
Pointone Capital,2020.0,Bangalore,Venture Capitalist,Pre-seed/Seed focussed VC investor,Mihir Jha,Unicorn India Ventures,3000000.0,Series A,2020-01-01
Ayana,2017.0,Bangalore,Renewable Player,Ayana Renewable Power is an Indian renewable energy platform,Shivanand N,"Niif Ltd, Cdc Group",390000000.0,Seed,2020-01-01
Fisdom,2015.0,Bangalore,Fintech,Fisdom is a fintech company that offers investment advisory services through an application.,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","Payu Finance India, Quona Capital",7000000.0,Series A,2020-01-01
Tinker Coders,2020.0,Noida,Edtech,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,Anoop Gautam,Stemrobo Technologies,3000000.0,Seed,2020-01-01
Infinite Uptime,2015.0,Pune,Iot Startup,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Series B,2020-01-01
Happylocate,2016.0,Bangalore,Saas Startup,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru",The Cowrks Foundry,500000.0,Pre-series A,2020-01-01
Phonepe,2015.0,New Delhi,Fintech,PhonePe is a mobile payments application that allows the user to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,700000000.0,Series A,2020-01-01
Loop Health,2017.0,Pune,Healthtech,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",2300000.0,Seed,2020-01-01
Neodocs,2020.0,Mumbai,Healthtech,Neodocs analyses medical reports and provides personalised health recommendations remotely.,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,3000000.0,Pre-seed,2020-01-01
The Eplane,2016.0,Chennai,Aero Company,Transforming the mobility landscape using aerial transport.,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,3000000.0,Seed,2020-01-01
Tagmango,2019.0,Mumbai,Marketing Company,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","Xrm Media, Kevin Lin",700000.0,Seed,2020-01-01
The New Shop,2019.0,New Delhi,Retail Startup,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,500000.0,Seed,2020-01-01
Mobikwik,2009.0,Gurgaon,Fintech,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",7000000.0,Series B,2020-01-01
Debugsbunny,2020.0,Pune,Edtech,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,Sumit Sanjay Singare,India Angel Fund,100000.0,Series B,2020-01-01
Bhive Investech,2014.0,Bangalore,Co-Working Startup,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,1000000.0,Seed,2020-01-01
Rivigo,2014.0,Gurgaon,Logistics,Rivigo is a technology-enabled logistics platform provider that offers transport services.,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",19000000.0,Pre series A,2020-01-01
Ziploan,2015.0,New Delhi,Finance Company,ZipLoan is a online lending platform,"Kshitij Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",3000000.0,Series C,2020-01-01
Swipez,2014.0,Pune,Fintech,Swipez is a payment collection platform.,Vivek Iyer,"9Unicorns, Anicut",3000000.0,Series B,2020-01-01
Humus,2019.0,Bangalore,Agritech,Farmgate to Retail outlet Agri-Fresh produce supply chain,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",3000000.0,Pre series A,2020-01-01
Artivatic.Ai,2017.0,Bangalore,Tech Company,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",Layak Singh,"Senseai Ventures, Saurabh Chugh",3000000.0,Seed,2020-01-01
Prescinto,2016.0,Ahmedabad,Solar Monitoring Company,Prescinto provides solutions for solar monitoring and analytics solutions.,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup Incubator, Accelerator Venture Catalysts",3000000.0,Seed,2020-01-01
Toppeq,2019.0,Mumbai,Saas Startup,SaaS-based equity management platform,Nandini Sankar,Unicorn India Ventures,3000000.0,Seed,2020-01-01
Bolo Indya,2019.0,Gurgaon,Video Sharing Platform,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.","Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath",400000.0,Series B,2020-01-01
Bombay Play,2017.0,Bangalore,Gaming Startup,Bombay Play is a Card and Toy Company Making games for India.,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",1000000.0,Seed,2020-01-01
Freshtohome,2015.0,Bangalore,E-Commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,Investment Corporation Of Dubai (Icd),3000000.0,Series A,2020-01-01
Kiko Tv,2020.0,Mumbai,Video Streaming Platform,KIKO TV is an AI-based short live video e-commerce platform.,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi",3000000.0,Seed,2020-01-01
Atomberg Technologies,2012.0,Mumbai,Consumer Appliances,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",9000000.0,Series B,2020-01-01
Dealshare,2018.0,Jaipur,E-Commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",21000000.0,Series C,2020-01-01
Smallcase,2015.0,Bangalore,Fintech,Changing how India invests in equities,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","Weh Ventures, Beenext",3000000.0,Series B,2020-01-01
Cuemath,2011.0,Bangalore,Edtech,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Manan Khurma,"Sequoia Capital India, Capitalg",40000000.0,Series C,2020-01-01
Gamerji,2018.0,Ahmedabad,Gaming Startup,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.","Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.,3000000.0,Seed,2020-01-01
5C Network,2014.0,Bangalore,Healthtech,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",1200000.0,Pre-series A,2020-01-01
Ethereum Push Notification Service,2020.0,Mumbai,Blockchain Startup,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi",Prolific Angel Investors,750000.0,Seed,2020-01-01
Mihup,2016.0,Kolkata,Conversational Ai Platform,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",1500000.0,Series A,2020-01-01
Ruralbasket,2019.0,"Tirunelveli, Tamilnadu",E-Commerce,Naturally grown and healthy products directly from farmers.,Palani Rajan,Nativelead Foundation,500000.0,Seed Round,2020-01-01
Waycool Foods,2015.0,Chennai,Agritech,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","Karthik Jayaraman, Sanjay Dasari","Fmo, Indusind Bank",7800000.0,Debt,2020-01-01
Infra.Market,2016.0,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Series B,2020-01-01
Info Edge Venture,1995.0,Noida,Venture Capitalist,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Sanjeev Bikhchandani,Lightbox,50000000.0,Series C,2020-01-01
Clovia,2013.0,Noida,E-Commerce,Clovia is the online lingerie retailer,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",4000000.0,Pre-series C,2020-01-01
Codingal,2020.0,Bangalore,Edtech,Coding education platform for K-12 students,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, And Gsf Accelerator.",560000.0,Seed,2020-01-01
Cred,2018.0,Bangalore,Finance Company,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Kunal Shah,"General Catalyst, Ribbit Capital",80000000.0,Series C,2020-01-01
Vistaar Finance,2010.0,Bangalore,Finance Company,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,"Brahmanad, Ramakrishna Nishtala",Fmo,30000000.0,Seed Round,2020-01-01
Let'S Dive,2020.0,Bangalore,Saas Platform,A platform for remote employee engagement and building team culture,"Nitesh Agrawal, Om Prakash",Surge,1700000.0,Seed,2020-01-01
Habitat,2016.0,Pune,Edtech,"Habitat, a social learning edtech platform for civil service aspirants","Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital",600000.0,Seed,2020-01-01
Sawo Labs,2020.0,Mumbai,Saas Platform,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,Prabhat Sahu,"Startupxseed Ventures, 100X.Vc",600000.0,Seed,2020-01-01
Signzy,2015.0,Bangalore,Ai Platform,Signzy are creating 'building blocks for a Digital Trust system.,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",3000000.0,Seed,2020-01-01
Kopykitab,2013.0,Bangalore,Edtech,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.","Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand",3000000.0,Seed Round,2020-01-01
Kyt,2020.0,Singapore,Edtech,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’S Surge,2500000.0,Seed,2020-01-01
Raskik,2019.0,Hyderabad,Fusion Beverages,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns",1000000.0,Pre-series A,2020-01-01
Getwork,2019.0,Gurugram,Hr Tech,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,India Accelerator,40000.0,Pre-seed,2020-01-01
Mobile Premier League (Mpl),2018.0,Bangalore,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",500000.0,Series B,2020-01-01
Pravasirojgar,2020.0,Mumbai,Job Portal,Initiative for blue-collar job workers,Sonu Sood,Goodworker.,33000000.0,Series B,2020-01-01
Omatra Hotels,2017.0,Kolkata,Hospitality,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,"Naveed Ahamed, Syed Saqqa Abbas",Capify,3000000.0,Seed,2020-01-01
Awign,2016.0,Bangalore,Job Portal,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",3000000.0,Pre-series B,2020-01-01
Newsreach,2018.0,Gujarat,Digital Media,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Darshan Shah, Soniya Kundnani","Mumbai Angels, Jito Angel Network.",1500000.0,Seed,2020-01-01
Cashfree,2015.0,Bangalore,Fintech,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",35000000.0,Series B,2020-01-01
Credgenics,2018.0,New Delhi,Fintech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Pre-series A,2020-01-01
Geoiq,2018.0,Bangalore,Ai Startup,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",300000.0,Seed,2020-01-01
Country Delight,2015.0,Haryana,Dairy Startup,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","Iifl Asset Management, Matrix Partners",25000000.0,Series C,2020-01-01
Quintype,2014.0,Bangalore,Content Management,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",Chirdeep Shetty,Iifl Amc,3500000.0,Series A,2020-01-01
Cars24,2015.0,Haryana,Retail,CARS24 is an India-based platform for selling used cars.,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark Holdings",200000000.0,Series E,2020-01-01
Astrogate Labs,2017.0,Bangalore,Spacetech,Astrogate Labs provides high-quality products related to space infrastructure.,Falguni Nayar,"Venture Catalysts, Speciale Invest",3000000.0,Series C,2020-01-01
Power Gummies,2018.0,New Delhi,Healthtech,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,Venture Catalysts,3000000.0,Bridge,2020-01-01
Cityflo,2015.0,Mumbai,Transportation,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",7000000.0,Series A,2020-01-01
Algobulls,2019.0,Mumbai,Trading Platform,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,"Pushpak Dagade, Jimmit Patel And Suraj Bathija",Venture Catalysts,200000.0,Pre series A,2020-01-01
Credgenics,2018.0,Gurugram,Fintech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Pre-series A,2020-01-01
Inntot,2014.0,Kerala,Tech Company,"Inntot Technologies, is a technology driven company.",Rajith Nair,Unicorn India Ventures,3000000.0,Series C,2020-01-01
Ensuredit,2019.0,Gurugram,Fintech,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,"Amit, Rohit Sadhu, And Vikas Ranga",Venture Catalysts,300000.0,Pre-series A,2020-01-01
Shipsy,2015.0,Gurugram,Ai Company,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","Dtdc, Udaan Angel Partners",6000000.0,Series A,2020-01-01
Erpnext,2008.0,Mumbai,Tech Company,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Rushabh Mehta,Rainmatter,1000000.0,Seed,2020-01-01
Lightspeedai,2019.0,Bangalore,Photonics Startup,Developer of an optoelectronic processor designed to accelerate AI computations.,"Rohin Y, Pv Ramana","Yournest, Growx Ventures",3000000.0,Pre series A,2020-01-01
Grip Invest,2020.0,Gurugram,Fintech,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital,3000000.0,Pre-series A,2020-01-01
Unacademy,2015.0,Bangalore,Edtech,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management",3000000.0,Series A,2020-01-01
Yellow Classes,2020.0,Gurugram,Edtech,New-age fun-learning platform for kids.,"Arpit Mittal, Anshul Gupta",India Quotient,1300000.0,Pre-series A,2020-01-01
Plum,2019.0,Bangalore,Healthtech,High quality health insurance and health benefits,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",4100000.0,Seed Round,2020-01-01
Stage,2019.0,Indore,Entertainment,STAGE is an Indian language content platform for artist-led entertainment.,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,1000000.0,Series C,2020-01-01
Nykaa,2012.0,Mumbai,Cosmetics,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Alia Bhatt, Katrina Kaif",3000000.0,Series B,2020-01-01
Kaagaz Scanner,2020.0,Noida,Scanning App,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures,575000.0,Seed Round,2020-01-01
Nira,2017.0,Bangalore,Fintech,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",1000000.0,Pre series A,2020-01-01
Prolixr,2018.0,Gurugram,Skincare Startup,A premium skincare brand committed towards building innovative skin care wellness.,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",3000000.0,Seed,2020-01-01
Byju'S,2011.0,Bangalore,Edtech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",200000000.0,Series C,2020-01-01
Damensch,2018.0,Bangalore,E-Commerce,DaMENSCH is a designer and seller of men's apparel.,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",6000000.0,Series B,2020-01-01
Country Delight,2015.0,Haryana,Food And Beverages,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",25000000.0,Series C,2020-01-01
Signalx,2018.0,Hyderabad,Ai Startup,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines Vc, Hyderabad Angels",800000.0,Seed,2020-01-01
Lancify,2018.0,Bangalore,Edtech,Lancify is building the world's strongest young workforce,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",300000.0,Pre series A,2020-01-01
Krimanshi,2015.0,Jodhpur,Biotechnology Company,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, Aim Smart City",600000.0,Seed,2020-01-01
Instoried,2018.0,Bangalore,Ai Startup,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, Sosv",1000000.0,Pre-series A,2020-01-01
Playerzpot,2015.0,Mumbai,Gaming Startup,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes","Yogesh, Mitesh Gangar",Better Capital,3000000.0,Series A,2020-01-01
