Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Goodmylk,2017.0,Bangalore,Dairy,Provides Vegan dairy products,Abhay Rangan,"Ginni International, Elisa Khong, Sandeep Singh, Veginvest",400000.0,Seed Round,2020-01-01
Smartkarrot,2019.0,Thane,Saas,It tracks customers’ real-time digital behaviour,"Prithwi Dasgupta, Arnab Chatterjee",Angel Investors,1000000.0,Seed Round,2020-01-01
Skylo,2017.0,Gurgaon,Iot,Provides affordable and ever present network that connects machines or sensors,Trivedi,Softbank Group,103000000.0,Series B,2020-01-01
Tea Trunk,2013.0,Goa,Beverage,Global premium tea brand,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi",Angel Investors,220000.0,Seed Round,2020-01-01
Zoomcar,2013.0,Bangalore,Transport & Rentals,A car rental service platform,"Greg Moran, David Back",Sony Innovation Fund,30000000.0,Series D,2020-01-01
Mera Cashier,2019.0,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,","Amit Singal, Manish Aggarwal",250000.0,Seed Round,2020-01-01
Samya Ai,2019.0,Kolkata,Saas,Revenue growth AI startup in the consumer packed goods (CPG) space,"Shailendra Singh, Deepinder Dhingra, Pavan Palety",Sequoia India,6000000.0,Seed Round,2020-01-01
Kristal Ai,2016.0,Mumbai,Ai,Provides Algorithm-based financial services,"Asheesh Chanda, Vineeth Narasimhan",Chiratae Ventures,6000000.0,Series A,2020-01-01
Invento Robotics,2016.0,Chennai,Ai Robotics,Known for Mitra Series of Robots,"Balaji Viswanathan, Be Limitless Inc., Zingfin.Com, Nalandau","Windrose Capital, Iti Growth Opportunities Venture Fund",281300.0,Seed Round,2020-01-01
Zimyo,2018.0,Gurugram,Hr Tech,Automates everyday HR processes with integrated solutions,"Kumar Mayank, Ajay Kadyan",Yatra Angel Network (Yan),3000000.0,Seed Round,2020-01-01
Sabse Sasta Dukaan,2016.0,Kolkata,Pharmaceutical,Online pharmacy dealing in medicines,"Anish Agarwal, Anant Jain",Angel Investors,3000000.0,Seed,2020-01-01
